"LGA_2016","Local Government Areas - 2016","SEIFAINDEXTYPE","Index Type","SEIFA_MEASURE","Measure","TIME","Time","Value","Flag Codes","Flags"
"10250","Ballina (A)","IEO","Index of Education and Occupation","MINS","Minimum score for SA1s in area","2016","2016",755,,
"10250","Ballina (A)","IEO","Index of Education and Occupation","MAXS","Maximum score for SA1s in area","2016","2016",1133,,
"10250","Ballina (A)","IEO","Index of Education and Occupation","URP","Usual resident population","2016","2016",41790,,
"10300","Balranald (A)","IEO","Index of Education and Occupation","SCORE","Score","2016","2016",915,,
"10300","Balranald (A)","IEO","Index of Education and Occupation","RWAR","Rank within Australia","2016","2016",95,,
"10300","Balranald (A)","IEO","Index of Education and Occupation","RWAD","Rank within Australia - Decile","2016","2016",2,,
"10300","Balranald (A)","IEO","Index of Education and Occupation","RWAP","Rank within Australia - Percentile","2016","2016",18,,
"10300","Balranald (A)","IEO","Index of Education and Occupation","RWSR","Rank within State or Territory","2016","2016",10,,
"10300","Balranald (A)","IEO","Index of Education and Occupation","RWSD","Rank within State or Territory - Decile","2016","2016",1,,
"10300","Balranald (A)","IEO","Index of Education and Occupation","RWSP","Rank within State or Territory - Percentile","2016","2016",8,,
"10300","Balranald (A)","IEO","Index of Education and Occupation","MINS","Minimum score for SA1s in area","2016","2016",855,,
"10300","Balranald (A)","IEO","Index of Education and Occupation","MAXS","Maximum score for SA1s in area","2016","2016",1006,,
"10300","Balranald (A)","IEO","Index of Education and Occupation","URP","Usual resident population","2016","2016",2287,,
"10470","Bathurst Regional (A)","IEO","Index of Education and Occupation","SCORE","Score","2016","2016",978,,
"10470","Bathurst Regional (A)","IEO","Index of Education and Occupation","RWAR","Rank within Australia","2016","2016",358,,
"10470","Bathurst Regional (A)","IEO","Index of Education and Occupation","RWAD","Rank within Australia - Decile","2016","2016",7,,
"10470","Bathurst Regional (A)","IEO","Index of Education and Occupation","RWAP","Rank within Australia - Percentile","2016","2016",66,,
"10470","Bathurst Regional (A)","IEO","Index of Education and Occupation","RWSR","Rank within State or Territory","2016","2016",86,,
"10470","Bathurst Regional (A)","IEO","Index of Education and Occupation","RWSD","Rank within State or Territory - Decile","2016","2016",7,,
"10470","Bathurst Regional (A)","IEO","Index of Education and Occupation","RWSP","Rank within State or Territory - Percentile","2016","2016",66,,
"10470","Bathurst Regional (A)","IEO","Index of Education and Occupation","MINS","Minimum score for SA1s in area","2016","2016",716,,
"10470","Bathurst Regional (A)","IEO","Index of Education and Occupation","MAXS","Maximum score for SA1s in area","2016","2016",1124,,
"10470","Bathurst Regional (A)","IEO","Index of Education and Occupation","URP","Usual resident population","2016","2016",41300,,
"10550","Bega Valley (A)","IEO","Index of Education and Occupation","SCORE","Score","2016","2016",959,,
"10550","Bega Valley (A)","IEO","Index of Education and Occupation","RWAR","Rank within Australia","2016","2016",279,,
"10550","Bega Valley (A)","IEO","Index of Education and Occupation","RWAD","Rank within Australia - Decile","2016","2016",6,,
"10550","Bega Valley (A)","IEO","Index of Education and Occupation","RWAP","Rank within Australia - Percentile","2016","2016",52,,
"10550","Bega Valley (A)","IEO","Index of Education and Occupation","RWSR","Rank within State or Territory","2016","2016",65,,
"10550","Bega Valley (A)","IEO","Index of Education and Occupation","RWSD","Rank within State or Territory - Decile","2016","2016",5,,
"10550","Bega Valley (A)","IEO","Index of Education and Occupation","RWSP","Rank within State or Territory - Percentile","2016","2016",50,,
"10550","Bega Valley (A)","IEO","Index of Education and Occupation","MINS","Minimum score for SA1s in area","2016","2016",794,,
"10550","Bega Valley (A)","IEO","Index of Education and Occupation","MAXS","Maximum score for SA1s in area","2016","2016",1113,,
"10550","Bega Valley (A)","IEO","Index of Education and Occupation","URP","Usual resident population","2016","2016",33253,,
"10600","Bellingen (A)","IEO","Index of Education and Occupation","SCORE","Score","2016","2016",990,,
"10600","Bellingen (A)","IEO","Index of Education and Occupation","RWAR","Rank within Australia","2016","2016",398,,
"10600","Bellingen (A)","IEO","Index of Education and Occupation","RWAD","Rank within Australia - Decile","2016","2016",8,,
"10600","Bellingen (A)","IEO","Index of Education and Occupation","RWAP","Rank within Australia - Percentile","2016","2016",73,,
"10600","Bellingen (A)","IEO","Index of Education and Occupation","RWSR","Rank within State or Territory","2016","2016",91,,
"10600","Bellingen (A)","IEO","Index of Education and Occupation","RWSD","Rank within State or Territory - Decile","2016","2016",7,,
"10600","Bellingen (A)","IEO","Index of Education and Occupation","RWSP","Rank within State or Territory - Percentile","2016","2016",70,,
"10600","Bellingen (A)","IEO","Index of Education and Occupation","MINS","Minimum score for SA1s in area","2016","2016",878,,
"10600","Bellingen (A)","IEO","Index of Education and Occupation","MAXS","Maximum score for SA1s in area","2016","2016",1087,,
"10600","Bellingen (A)","IEO","Index of Education and Occupation","URP","Usual resident population","2016","2016",12668,,
"10650","Berrigan (A)","IEO","Index of Education and Occupation","SCORE","Score","2016","2016",941,,
"10650","Berrigan (A)","IEO","Index of Education and Occupation","RWAR","Rank within Australia","2016","2016",204,,
"10650","Berrigan (A)","IEO","Index of Education and Occupation","RWAD","Rank within Australia - Decile","2016","2016",4,,
"10650","Berrigan (A)","IEO","Index of Education and Occupation","RWAP","Rank within Australia - Percentile","2016","2016",38,,
"10650","Berrigan (A)","IEO","Index of Education and Occupation","RWSR","Rank within State or Territory","2016","2016",44,,
"10650","Berrigan (A)","IEO","Index of Education and Occupation","RWSD","Rank within State or Territory - Decile","2016","2016",4,,
"10650","Berrigan (A)","IEO","Index of Education and Occupation","RWSP","Rank within State or Territory - Percentile","2016","2016",34,,
"10650","Berrigan (A)","IEO","Index of Education and Occupation","MINS","Minimum score for SA1s in area","2016","2016",859,,
"10650","Berrigan (A)","IEO","Index of Education and Occupation","MAXS","Maximum score for SA1s in area","2016","2016",1056,,
"10650","Berrigan (A)","IEO","Index of Education and Occupation","URP","Usual resident population","2016","2016",8462,,
"10750","Blacktown (C)","IEO","Index of Education and Occupation","SCORE","Score","2016","2016",968,,
"10750","Blacktown (C)","IEO","Index of Education and Occupation","RWAR","Rank within Australia","2016","2016",316,,
"10750","Blacktown (C)","IEO","Index of Education and Occupation","RWAD","Rank within Australia - Decile","2016","2016",6,,
"10750","Blacktown (C)","IEO","Index of Education and Occupation","RWAP","Rank within Australia - Percentile","2016","2016",58,,
"10750","Blacktown (C)","IEO","Index of Education and Occupation","RWSR","Rank within State or Territory","2016","2016",78,,
"10750","Blacktown (C)","IEO","Index of Education and Occupation","RWSD","Rank within State or Territory - Decile","2016","2016",6,,
"10750","Blacktown (C)","IEO","Index of Education and Occupation","RWSP","Rank within State or Territory - Percentile","2016","2016",60,,
"10750","Blacktown (C)","IEO","Index of Education and Occupation","MINS","Minimum score for SA1s in area","2016","2016",686,,
"10750","Blacktown (C)","IEO","Index of Education and Occupation","MAXS","Maximum score for SA1s in area","2016","2016",1144,,
"10750","Blacktown (C)","IEO","Index of Education and Occupation","URP","Usual resident population","2016","2016",336962,,
"10800","Bland (A)","IEO","Index of Education and Occupation","SCORE","Score","2016","2016",951,,
"10800","Bland (A)","IEO","Index of Education and Occupation","RWAR","Rank within Australia","2016","2016",250,,
"10800","Bland (A)","IEO","Index of Education and Occupation","RWAD","Rank within Australia - Decile","2016","2016",5,,
"10800","Bland (A)","IEO","Index of Education and Occupation","RWAP","Rank within Australia - Percentile","2016","2016",46,,
"10800","Bland (A)","IEO","Index of Education and Occupation","RWSR","Rank within State or Territory","2016","2016",59,,
"10800","Bland (A)","IEO","Index of Education and Occupation","RWSD","Rank within State or Territory - Decile","2016","2016",5,,
"10800","Bland (A)","IEO","Index of Education and Occupation","RWSP","Rank within State or Territory - Percentile","2016","2016",46,,
"10800","Bland (A)","IEO","Index of Education and Occupation","MINS","Minimum score for SA1s in area","2016","2016",812,,
"10800","Bland (A)","IEO","Index of Education and Occupation","MAXS","Maximum score for SA1s in area","2016","2016",1067,,
"10800","Bland (A)","IEO","Index of Education and Occupation","URP","Usual resident population","2016","2016",5955,,
"10850","Blayney (A)","IEO","Index of Education and Occupation","SCORE","Score","2016","2016",953,,
"10850","Blayney (A)","IEO","Index of Education and Occupation","RWAR","Rank within Australia","2016","2016",256,,
"10850","Blayney (A)","IEO","Index of Education and Occupation","RWAD","Rank within Australia - Decile","2016","2016",5,,
"10850","Blayney (A)","IEO","Index of Education and Occupation","RWAP","Rank within Australia - Percentile","2016","2016",47,,
"10850","Blayney (A)","IEO","Index of Education and Occupation","RWSR","Rank within State or Territory","2016","2016",60,,
"10850","Blayney (A)","IEO","Index of Education and Occupation","RWSD","Rank within State or Territory - Decile","2016","2016",5,,
"10850","Blayney (A)","IEO","Index of Education and Occupation","RWSP","Rank within State or Territory - Percentile","2016","2016",46,,
"10850","Blayney (A)","IEO","Index of Education and Occupation","MINS","Minimum score for SA1s in area","2016","2016",852,,
"10850","Blayney (A)","IEO","Index of Education and Occupation","MAXS","Maximum score for SA1s in area","2016","2016",1118,,
"10850","Blayney (A)","IEO","Index of Education and Occupation","URP","Usual resident population","2016","2016",7257,,
"10900","Blue Mountains (C)","IEO","Index of Education and Occupation","SCORE","Score","2016","2016",1070,,
"10900","Blue Mountains (C)","IEO","Index of Education and Occupation","RWAR","Rank within Australia","2016","2016",487,,
"10900","Blue Mountains (C)","IEO","Index of Education and Occupation","RWAD","Rank within Australia - Decile","2016","2016",9,,
"10900","Blue Mountains (C)","IEO","Index of Education and Occupation","RWAP","Rank within Australia - Percentile","2016","2016",90,,
"10900","Blue Mountains (C)","IEO","Index of Education and Occupation","RWSR","Rank within State or Territory","2016","2016",112,,
"10900","Blue Mountains (C)","IEO","Index of Education and Occupation","RWSD","Rank within State or Territory - Decile","2016","2016",9,,
"10900","Blue Mountains (C)","IEO","Index of Education and Occupation","RWSP","Rank within State or Territory - Percentile","2016","2016",86,,
"10900","Blue Mountains (C)","IEO","Index of Education and Occupation","MINS","Minimum score for SA1s in area","2016","2016",898,,
"10900","Blue Mountains (C)","IEO","Index of Education and Occupation","MAXS","Maximum score for SA1s in area","2016","2016",1176,,
"10900","Blue Mountains (C)","IEO","Index of Education and Occupation","URP","Usual resident population","2016","2016",76904,,
"10950","Bogan (A)","IEO","Index of Education and Occupation","SCORE","Score","2016","2016",945,,
"10950","Bogan (A)","IEO","Index of Education and Occupation","RWAR","Rank within Australia","2016","2016",224,,
"10950","Bogan (A)","IEO","Index of Education and Occupation","RWAD","Rank within Australia - Decile","2016","2016",5,,
"10950","Bogan (A)","IEO","Index of Education and Occupation","RWAP","Rank within Australia - Percentile","2016","2016",42,,
"10950","Bogan (A)","IEO","Index of Education and Occupation","RWSR","Rank within State or Territory","2016","2016",49,,
"10950","Bogan (A)","IEO","Index of Education and Occupation","RWSD","Rank within State or Territory - Decile","2016","2016",4,,
"10950","Bogan (A)","IEO","Index of Education and Occupation","RWSP","Rank within State or Territory - Percentile","2016","2016",38,,
"10950","Bogan (A)","IEO","Index of Education and Occupation","MINS","Minimum score for SA1s in area","2016","2016",882,,
"10950","Bogan (A)","IEO","Index of Education and Occupation","MAXS","Maximum score for SA1s in area","2016","2016",1057,,
"10950","Bogan (A)","IEO","Index of Education and Occupation","URP","Usual resident population","2016","2016",2692,,
"11100","Botany Bay (C)","IEO","Index of Education and Occupation","SCORE","Score","2016","2016",1029,,
"11100","Botany Bay (C)","IEO","Index of Education and Occupation","RWAR","Rank within Australia","2016","2016",458,,
"11100","Botany Bay (C)","IEO","Index of Education and Occupation","RWAD","Rank within Australia - Decile","2016","2016",9,,
"11100","Botany Bay (C)","IEO","Index of Education and Occupation","RWAP","Rank within Australia - Percentile","2016","2016",84,,
"11100","Botany Bay (C)","IEO","Index of Education and Occupation","RWSR","Rank within State or Territory","2016","2016",103,,
"11100","Botany Bay (C)","IEO","Index of Education and Occupation","RWSD","Rank within State or Territory - Decile","2016","2016",8,,
"11100","Botany Bay (C)","IEO","Index of Education and Occupation","RWSP","Rank within State or Territory - Percentile","2016","2016",79,,
"11100","Botany Bay (C)","IEO","Index of Education and Occupation","MINS","Minimum score for SA1s in area","2016","2016",775,,
"11100","Botany Bay (C)","IEO","Index of Education and Occupation","MAXS","Maximum score for SA1s in area","2016","2016",1184,,
"11100","Botany Bay (C)","IEO","Index of Education and Occupation","URP","Usual resident population","2016","2016",46654,,
"11150","Bourke (A)","IEO","Index of Education and Occupation","SCORE","Score","2016","2016",992,,
"11150","Bourke (A)","IEO","Index of Education and Occupation","RWAR","Rank within Australia","2016","2016",405,,
"11150","Bourke (A)","IEO","Index of Education and Occupation","RWAD","Rank within Australia - Decile","2016","2016",8,,
"11150","Bourke (A)","IEO","Index of Education and Occupation","RWAP","Rank within Australia - Percentile","2016","2016",75,,
"11150","Bourke (A)","IEO","Index of Education and Occupation","RWSR","Rank within State or Territory","2016","2016",94,,
"11150","Bourke (A)","IEO","Index of Education and Occupation","RWSD","Rank within State or Territory - Decile","2016","2016",8,,
"11150","Bourke (A)","IEO","Index of Education and Occupation","RWSP","Rank within State or Territory - Percentile","2016","2016",72,,
"11150","Bourke (A)","IEO","Index of Education and Occupation","MINS","Minimum score for SA1s in area","2016","2016",884,,
"11150","Bourke (A)","IEO","Index of Education and Occupation","MAXS","Maximum score for SA1s in area","2016","2016",1105,,
"11150","Bourke (A)","IEO","Index of Education and Occupation","URP","Usual resident population","2016","2016",2634,,
"11200","Brewarrina (A)","IEO","Index of Education and Occupation","SCORE","Score","2016","2016",943,,
"11200","Brewarrina (A)","IEO","Index of Education and Occupation","RWAR","Rank within Australia","2016","2016",216,,
"11200","Brewarrina (A)","IEO","Index of Education and Occupation","RWAD","Rank within Australia - Decile","2016","2016",4,,
"11200","Brewarrina (A)","IEO","Index of Education and Occupation","RWAP","Rank within Australia - Percentile","2016","2016",40,,
"11200","Brewarrina (A)","IEO","Index of Education and Occupation","RWSR","Rank within State or Territory","2016","2016",47,,
"11200","Brewarrina (A)","IEO","Index of Education and Occupation","RWSD","Rank within State or Territory - Decile","2016","2016",4,,
"11200","Brewarrina (A)","IEO","Index of Education and Occupation","RWSP","Rank within State or Territory - Percentile","2016","2016",36,,
"11200","Brewarrina (A)","IEO","Index of Education and Occupation","MINS","Minimum score for SA1s in area","2016","2016",866,,
"11200","Brewarrina (A)","IEO","Index of Education and Occupation","MAXS","Maximum score for SA1s in area","2016","2016",1008,,
"11200","Brewarrina (A)","IEO","Index of Education and Occupation","URP","Usual resident population","2016","2016",1651,,
"11250","Broken Hill (C)","IEO","Index of Education and Occupation","SCORE","Score","2016","2016",895,,
"11250","Broken Hill (C)","IEO","Index of Education and Occupation","RWAR","Rank within Australia","2016","2016",57,,
"11250","Broken Hill (C)","IEO","Index of Education and Occupation","RWAD","Rank within Australia - Decile","2016","2016",2,,
"11250","Broken Hill (C)","IEO","Index of Education and Occupation","RWAP","Rank within Australia - Percentile","2016","2016",11,,
"11250","Broken Hill (C)","IEO","Index of Education and Occupation","RWSR","Rank within State or Territory","2016","2016",7,,
"11250","Broken Hill (C)","IEO","Index of Education and Occupation","RWSD","Rank within State or Territory - Decile","2016","2016",1,,
"11250","Broken Hill (C)","IEO","Index of Education and Occupation","RWSP","Rank within State or Territory - Percentile","2016","2016",6,,
"11250","Broken Hill (C)","IEO","Index of Education and Occupation","MINS","Minimum score for SA1s in area","2016","2016",779,,
"11250","Broken Hill (C)","IEO","Index of Education and Occupation","MAXS","Maximum score for SA1s in area","2016","2016",1109,,
"11250","Broken Hill (C)","IEO","Index of Education and Occupation","URP","Usual resident population","2016","2016",17708,,
"11300","Burwood (A)","IEO","Index of Education and Occupation","SCORE","Score","2016","2016",1067,,
"11300","Burwood (A)","IEO","Index of Education and Occupation","RWAR","Rank within Australia","2016","2016",486,,
"11300","Burwood (A)","IEO","Index of Education and Occupation","RWAD","Rank within Australia - Decile","2016","2016",9,,
"11300","Burwood (A)","IEO","Index of Education and Occupation","RWAP","Rank within Australia - Percentile","2016","2016",90,,
"11300","Burwood (A)","IEO","Index of Education and Occupation","RWSR","Rank within State or Territory","2016","2016",111,,
"11300","Burwood (A)","IEO","Index of Education and Occupation","RWSD","Rank within State or Territory - Decile","2016","2016",9,,
"11300","Burwood (A)","IEO","Index of Education and Occupation","RWSP","Rank within State or Territory - Percentile","2016","2016",85,,
"11300","Burwood (A)","IEO","Index of Education and Occupation","MINS","Minimum score for SA1s in area","2016","2016",1002,,
"11300","Burwood (A)","IEO","Index of Education and Occupation","MAXS","Maximum score for SA1s in area","2016","2016",1144,,
"11300","Burwood (A)","IEO","Index of Education and Occupation","URP","Usual resident population","2016","2016",36809,,
"11350","Byron (A)","IEO","Index of Education and Occupation","SCORE","Score","2016","2016",1047,,
"11350","Byron (A)","IEO","Index of Education and Occupation","RWAR","Rank within Australia","2016","2016",471,,
"11350","Byron (A)","IEO","Index of Education and Occupation","RWAD","Rank within Australia - Decile","2016","2016",9,,
"11350","Byron (A)","IEO","Index of Education and Occupation","RWAP","Rank within Australia - Percentile","2016","2016",87,,
"11350","Byron (A)","IEO","Index of Education and Occupation","RWSR","Rank within State or Territory","2016","2016",106,,
"11350","Byron (A)","IEO","Index of Education and Occupation","RWSD","Rank within State or Territory - Decile","2016","2016",9,,
"11350","Byron (A)","IEO","Index of Education and Occupation","RWSP","Rank within State or Territory - Percentile","2016","2016",81,,
"11350","Byron (A)","IEO","Index of Education and Occupation","MINS","Minimum score for SA1s in area","2016","2016",951,,
"11350","Byron (A)","IEO","Index of Education and Occupation","MAXS","Maximum score for SA1s in area","2016","2016",1175,,
"11350","Byron (A)","IEO","Index of Education and Occupation","URP","Usual resident population","2016","2016",31556,,
"11400","Cabonne (A)","IEO","Index of Education and Occupation","SCORE","Score","2016","2016",991,,
"11400","Cabonne (A)","IEO","Index of Education and Occupation","RWAR","Rank within Australia","2016","2016",402,,
"11400","Cabonne (A)","IEO","Index of Education and Occupation","RWAD","Rank within Australia - Decile","2016","2016",8,,
"11400","Cabonne (A)","IEO","Index of Education and Occupation","RWAP","Rank within Australia - Percentile","2016","2016",74,,
"11400","Cabonne (A)","IEO","Index of Education and Occupation","RWSR","Rank within State or Territory","2016","2016",93,,
"11400","Cabonne (A)","IEO","Index of Education and Occupation","RWSD","Rank within State or Territory - Decile","2016","2016",8,,
"11400","Cabonne (A)","IEO","Index of Education and Occupation","RWSP","Rank within State or Territory - Percentile","2016","2016",71,,
"11400","Cabonne (A)","IEO","Index of Education and Occupation","MINS","Minimum score for SA1s in area","2016","2016",803,,
"11400","Cabonne (A)","IEO","Index of Education and Occupation","MAXS","Maximum score for SA1s in area","2016","2016",1112,,
"11400","Cabonne (A)","IEO","Index of Education and Occupation","URP","Usual resident population","2016","2016",13386,,
"11450","Camden (A)","IEO","Index of Education and Occupation","SCORE","Score","2016","2016",1003,,
"11450","Camden (A)","IEO","Index of Education and Occupation","RWAR","Rank within Australia","2016","2016",422,,
"11450","Camden (A)","IEO","Index of Education and Occupation","RWAD","Rank within Australia - Decile","2016","2016",8,,
"11450","Camden (A)","IEO","Index of Education and Occupation","RWAP","Rank within Australia - Percentile","2016","2016",78,,
"11450","Camden (A)","IEO","Index of Education and Occupation","RWSR","Rank within State or Territory","2016","2016",98,,
"11450","Camden (A)","IEO","Index of Education and Occupation","RWSD","Rank within State or Territory - Decile","2016","2016",8,,
"11450","Camden (A)","IEO","Index of Education and Occupation","RWSP","Rank within State or Territory - Percentile","2016","2016",75,,
"11450","Camden (A)","IEO","Index of Education and Occupation","MINS","Minimum score for SA1s in area","2016","2016",822,,
"11450","Camden (A)","IEO","Index of Education and Occupation","MAXS","Maximum score for SA1s in area","2016","2016",1250,,
"11450","Camden (A)","IEO","Index of Education and Occupation","URP","Usual resident population","2016","2016",78218,,
"11500","Campbelltown (C) (NSW)","IEO","Index of Education and Occupation","SCORE","Score","2016","2016",932,,
"11500","Campbelltown (C) (NSW)","IEO","Index of Education and Occupation","RWAR","Rank within Australia","2016","2016",165,,
"11500","Campbelltown (C) (NSW)","IEO","Index of Education and Occupation","RWAD","Rank within Australia - Decile","2016","2016",4,,
"11500","Campbelltown (C) (NSW)","IEO","Index of Education and Occupation","RWAP","Rank within Australia - Percentile","2016","2016",31,,
"11500","Campbelltown (C) (NSW)","IEO","Index of Education and Occupation","RWSR","Rank within State or Territory","2016","2016",33,,
"11500","Campbelltown (C) (NSW)","IEO","Index of Education and Occupation","RWSD","Rank within State or Territory - Decile","2016","2016",3,,
"11500","Campbelltown (C) (NSW)","IEO","Index of Education and Occupation","RWSP","Rank within State or Territory - Percentile","2016","2016",26,,
"11500","Campbelltown (C) (NSW)","IEO","Index of Education and Occupation","MINS","Minimum score for SA1s in area","2016","2016",625,,
"11500","Campbelltown (C) (NSW)","IEO","Index of Education and Occupation","MAXS","Maximum score for SA1s in area","2016","2016",1131,,
"11500","Campbelltown (C) (NSW)","IEO","Index of Education and Occupation","URP","Usual resident population","2016","2016",157006,,
"11520","Canada Bay (A)","IEO","Index of Education and Occupation","SCORE","Score","2016","2016",1120,,
"11520","Canada Bay (A)","IEO","Index of Education and Occupation","RWAR","Rank within Australia","2016","2016",511,,
"11520","Canada Bay (A)","IEO","Index of Education and Occupation","RWAD","Rank within Australia - Decile","2016","2016",10,,
"11520","Canada Bay (A)","IEO","Index of Education and Occupation","RWAP","Rank within Australia - Percentile","2016","2016",94,,
"11520","Canada Bay (A)","IEO","Index of Education and Occupation","RWSR","Rank within State or Territory","2016","2016",120,,
"11520","Canada Bay (A)","IEO","Index of Education and Occupation","RWSD","Rank within State or Territory - Decile","2016","2016",10,,
"11520","Canada Bay (A)","IEO","Index of Education and Occupation","RWSP","Rank within State or Territory - Percentile","2016","2016",92,,
"11520","Canada Bay (A)","IEO","Index of Education and Occupation","MINS","Minimum score for SA1s in area","2016","2016",986,,
"11520","Canada Bay (A)","IEO","Index of Education and Occupation","MAXS","Maximum score for SA1s in area","2016","2016",1211,,
"11520","Canada Bay (A)","IEO","Index of Education and Occupation","URP","Usual resident population","2016","2016",88015,,
"11570","Canterbury-Bankstown (A)","IEO","Index of Education and Occupation","SCORE","Score","2016","2016",967,,
"11570","Canterbury-Bankstown (A)","IEO","Index of Education and Occupation","RWAR","Rank within Australia","2016","2016",314,,
"11570","Canterbury-Bankstown (A)","IEO","Index of Education and Occupation","RWAD","Rank within Australia - Decile","2016","2016",6,,
"11570","Canterbury-Bankstown (A)","IEO","Index of Education and Occupation","RWAP","Rank within Australia - Percentile","2016","2016",58,,
"11570","Canterbury-Bankstown (A)","IEO","Index of Education and Occupation","RWSR","Rank within State or Territory","2016","2016",76,,
"11570","Canterbury-Bankstown (A)","IEO","Index of Education and Occupation","RWSD","Rank within State or Territory - Decile","2016","2016",6,,
"11570","Canterbury-Bankstown (A)","IEO","Index of Education and Occupation","RWSP","Rank within State or Territory - Percentile","2016","2016",59,,
"11570","Canterbury-Bankstown (A)","IEO","Index of Education and Occupation","MINS","Minimum score for SA1s in area","2016","2016",717,,
"11570","Canterbury-Bankstown (A)","IEO","Index of Education and Occupation","MAXS","Maximum score for SA1s in area","2016","2016",1121,,
"11570","Canterbury-Bankstown (A)","IEO","Index of Education and Occupation","URP","Usual resident population","2016","2016",346302,,
"11600","Carrathool (A)","IEO","Index of Education and Occupation","SCORE","Score","2016","2016",955,,
"11600","Carrathool (A)","IEO","Index of Education and Occupation","RWAR","Rank within Australia","2016","2016",267,,
"11600","Carrathool (A)","IEO","Index of Education and Occupation","RWAD","Rank within Australia - Decile","2016","2016",5,,
"11600","Carrathool (A)","IEO","Index of Education and Occupation","RWAP","Rank within Australia - Percentile","2016","2016",49,,
"11600","Carrathool (A)","IEO","Index of Education and Occupation","RWSR","Rank within State or Territory","2016","2016",63,,
"11600","Carrathool (A)","IEO","Index of Education and Occupation","RWSD","Rank within State or Territory - Decile","2016","2016",5,,
"11600","Carrathool (A)","IEO","Index of Education and Occupation","RWSP","Rank within State or Territory - Percentile","2016","2016",49,,
"11600","Carrathool (A)","IEO","Index of Education and Occupation","MINS","Minimum score for SA1s in area","2016","2016",844,,
"11600","Carrathool (A)","IEO","Index of Education and Occupation","MAXS","Maximum score for SA1s in area","2016","2016",1077,,
"11600","Carrathool (A)","IEO","Index of Education and Occupation","URP","Usual resident population","2016","2016",2719,,
"11650","Central Coast (C) (NSW)","IEO","Index of Education and Occupation","SCORE","Score","2016","2016",970,,
"11650","Central Coast (C) (NSW)","IEO","Index of Education and Occupation","RWAR","Rank within Australia","2016","2016",326,,
"11650","Central Coast (C) (NSW)","IEO","Index of Education and Occupation","RWAD","Rank within Australia - Decile","2016","2016",6,,
"11650","Central Coast (C) (NSW)","IEO","Index of Education and Occupation","RWAP","Rank within Australia - Percentile","2016","2016",60,,
"11650","Central Coast (C) (NSW)","IEO","Index of Education and Occupation","RWSR","Rank within State or Territory","2016","2016",79,,
